ontology_curie	biosample_name	biosample_type	biosample_life_stage	gtex_tissue	available_outputs	total_tracks
UBERON:0001723	tongue	tissue	embryonic		cage,dnase,rna_seq,splice_junctions,splice_site_usage	8
UBERON:0001736	submandibular gland	tissue			cage	2
UBERON:0001774	muscle of trunk	tissue	embryonic		chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	11
UBERON:0001797	vitreous humor	tissue			cage	2
UBERON:0001831	parotid gland	tissue			cage	2
UBERON:0001870	frontal cortex	tissue	embryonic		cage,dnase,rna_seq,splice_junctions,splice_site_usage	12
UBERON:0001871	temporal lobe	tissue	embryonic		cage,chip_histone,rna_seq,splice_junctions,splice_site_usage	12
UBERON:0001872	parietal lobe	tissue	embryonic		cage,rna_seq,splice_junctions,splice_site_usage	7
UBERON:0001873	caudate nucleus	tissue	adult	Brain_Caudate_basal_ganglia	cage,chip_histone,rna_seq,splice_junctions,splice_site_usage	11
UBERON:0001874	putamen	tissue	adult	Brain_Putamen_basal_ganglia	cage,dnase,rna_seq,splice_junctions,splice_site_usage	7
UBERON:0001875	globus pallidus	tissue	adult		cage,dnase	3
UBERON:0001876	amygdala	tissue	adult	Brain_Amygdala	cage,rna_seq,splice_junctions,splice_site_usage	6
UBERON:0001882	nucleus accumbens	tissue	adult	Brain_Nucleus_accumbens_basal_ganglia	cage,rna_seq,splice_junctions,splice_site_usage	6
UBERON:0001894	diencephalon	tissue	embryonic		cage,rna_seq,splice_junctions,splice_site_usage	7
UBERON:0001896	medulla oblongata	tissue			cage	2
UBERON:0001897	dorsal plus ventral thalamus	tissue			cage	2
UBERON:0001898	hypothalamus	tissue	adult	Brain_Hypothalamus	rna_seq,splice_junctions,splice_site_usage	4
UBERON:0001905	pineal body	tissue			cage	2
UBERON:0001954	Ammon's horn	tissue	adult	Brain_Hippocampus	cage,dnase,rna_seq,splice_junctions,splice_site_usage	7
UBERON:0001987	placenta	tissue	embryonic		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	20
UBERON:0002021	occipital lobe	tissue	embryonic		cage,rna_seq,splice_junctions,splice_site_usage	7
UBERON:0002022	insula	tissue			cage	2
UBERON:0002037	cerebellum	tissue	embryonic		cage,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	18
UBERON:0002038	substantia nigra	tissue	adult	Brain_Substantia_nigra	cage,chip_histone,rna_seq,splice_junctions,splice_site_usage	11
UBERON:0002046	thyroid gland	tissue	adult		atac,cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	19
UBERON:0002048	lung	tissue	adult		atac,cage,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	21
UBERON:0002078	right cardiac atrium	tissue	adult		atac,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	15
UBERON:0002079	left cardiac atrium	tissue	adult		atac,cage,dnase,rna_seq,splice_junctions,splice_site_usage	9
UBERON:0002080	heart right ventricle	tissue	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	19
UBERON:0002084	heart left ventricle	tissue	adult		atac,cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	22
UBERON:0002097	skin of body	tissue	embryonic		rna_seq,splice_junctions,splice_site_usage	5
UBERON:0002099	cardiac septum	tissue	adult		atac,dnase,rna_seq,splice_junctions,splice_site_usage	7
UBERON:0002106	spleen	tissue	adult		atac,cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	28
UBERON:0002107	liver	tissue	child		atac,cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	39
UBERON:0002108	small intestine	tissue	adult		cage,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	15
UBERON:0002110	gallbladder	tissue			cage	2
UBERON:0002113	kidney	tissue	adult		atac,cage,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	20
UBERON:0002114	duodenum	tissue			cage	2
UBERON:0002118	right ovary	primary_cell			cage	2
UBERON:0002119	left ovary	primary_cell			cage	2
UBERON:0002129	cerebellar cortex	tissue	adult		dnase	1
UBERON:0002134	tricuspid valve	tissue			cage	2
UBERON:0002135	mitral valve	tissue			cage	2
UBERON:0002146	pulmonary valve	tissue			cage	2
UBERON:0002148	locus ceruleus	tissue			cage	2
UBERON:0002167	right lung	tissue	embryonic		dnase,rna_seq,splice_junctions,splice_site_usage	5
UBERON:0002168	left lung	tissue	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	18
UBERON:0002170	upper lobe of right lung	tissue	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	12
UBERON:0002171	lower lobe of right lung	tissue	adult		atac,cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	15
UBERON:0002190	subcutaneous adipose tissue	tissue	adult		atac,rna_seq,splice_junctions,splice_site_usage	10
UBERON:0002240	spinal cord	tissue	embryonic		cage,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	19
UBERON:0002245	cerebellar hemisphere	tissue	adult	Brain_Cerebellar_Hemisphere	rna_seq,splice_junctions,splice_site_usage	4
UBERON:0002305	layer of hippocampus	tissue	adult		chip_histone	5
UBERON:0002324	muscle of back	tissue	embryonic		dnase,rna_seq,splice_junctions,splice_site_usage	5
UBERON:0002331	umbilical cord	tissue	embryonic		cage,dnase,rna_seq,splice_junctions,splice_site_usage	8
